county,year,quarter,taxable_sales,taxable_purchases,total
Cass,2026,1,687715821,78283566,765999387
Cass,2026,2,890359082,86302310,976661392
Cavalier,2019,1,6617357,88681,6706038
Cavalier,2019,2,7798156,161302,7959458
Cavalier,2019,3,9185419,182670,9368089
Cavalier,2019,4,7519882,249327,7769209
Cavalier,2020,1,6600725,107191,6707916
Cavalier,2020,2,7856228,152114,8008342
Cavalier,2020,3,11254864,144606,11399470
Cavalier,2020,4,8338080,92050,8430130
Cavalier,2021,1,7492955,76687,7569642
Cavalier,2021,2,10728057,261948,10990005
Cavalier,2021,3,10594645,182047,10776692
Cavalier,2021,4,9848118,261112,10109230
Cavalier,2022,1,7880967,133656,8014623
Cavalier,2022,2,13222470,103294,13325764
Cavalier,2022,3,15490229,128340,15618569
Cavalier,2022,4,13552524,133975,13686499
Cavalier,2023,1,8718599,102690,8821289
Cavalier,2023,2,15925257,133088,16058345
Cavalier,2023,3,15863456,136382,15999838
Cavalier,2023,4,11400714,381298,11782012
Cavalier,2024,1,8410358,149942,8560300
Cavalier,2024,2,11724852,113492,11838344
Cavalier,2024,3,11680417,144679,11825096
Cavalier,2024,4,9270202,564923,9835125
Cavalier,2025,1,9334335,193883,9528218
Cavalier,2025,2,11823281,135267,11958548
Cavalier,2025,3,10184753,159960,10344713
Cavalier,2025,4,9515686,888114,10403800
Cavalier,2026,1,7094301,67910,7162211
Cavalier,2026,2,10456485,140033,10596518
Consolidated,2019,1,447022365,113997210,561019575
Consolidated,2019,2,484718960,196090589,680809549
Consolidated,2019,3,511762186,236834891,748597077
Consolidated,2019,4,493795780,117400760,611196540
Consolidated,2020,1,478035360,91545576,569580936
Consolidated,2020,2,424534685,77275070,501809755
Consolidated,2020,3,451316531,222918312,674234843
Consolidated,2020,4,439264367,88476927,527741294
Consolidated,2021,1,411056223,83345974,494402197
Consolidated,2021,2,472164678,255281106,727445784
Consolidated,2021,3,544968492,108605102,653573594
Consolidated,2021,4,655103832,99605220,754709052
Consolidated,2022,1,558983869,87199554,646183423
Consolidated,2022,2,682106905,130496689,812603594
Consolidated,2022,3,784763402,111287484,896050886
Consolidated,2022,4,766595981,109102330,875698311
Consolidated,2023,1,622048389,105046213,727094602
Consolidated,2023,2,757815940,155680347,913496287
Consolidated,2023,3,819668441,154665053,974333494
Consolidated,2023,4,802178715,141708079,943886794
Consolidated,2024,1,684180151,157107724,841287875
Consolidated,2024,2,796698472,173063826,969762298
Consolidated,2024,3,818196446,201185528,1019381974
Consolidated,2024,4,864338999,182948976,1047287975
Consolidated,2025,1,664797192,122158926,786956118
Consolidated,2025,2,806061579,212052479,1018114058
Consolidated,2025,3,820965359,210037224,1031002583
Consolidated,2025,4,836020282,212785719,1048806001
Consolidated,2026,1,672644270,117199115,789843385
Consolidated,2026,2,775693624,159990118,935683742
Dickey,2019,1,6080093,96745,6176838
Dickey,2019,2,10577350,174565,10751915
Dickey,2019,3,9362200,149713,9511913
Dickey,2019,4,8886406,197857,9084263
Dickey,2020,1,6731885,188322,6920207
Dickey,2020,2,9127224,207051,9334275
Dickey,2020,3,9817092,235536,10052628
Dickey,2020,4,9504522,299254,9803776
Dickey,2021,1,8057700,224514,8282214
Dickey,2021,2,12017526,206880,12224406
Dickey,2021,3,10934991,203486,11138477
Dickey,2021,4,12453508,189268,12642776
Dickey,2022,1,8885815,154530,9040345
Dickey,2022,2,14266345,309994,14576339
Dickey,2022,3,12651782,271350,12923132
Dickey,2022,4,11769139,298320,12067459
Dickey,2023,1,9680089,147372,9827461
Dickey,2023,2,12865868,213174,13079042
Dickey,2023,3,13330711,328248,13658959
Dickey,2023,4,12048859,770397,12819256
Dickey,2024,1,9919040,567674,10486714
Dickey,2024,2,12300019,401118,12701137
Dickey,2024,3,12308148,446772,12754920
Dickey,2024,4,11782628,268764,12051392
Dickey,2025,1,10037250,280160,10317410
Dickey,2025,2,12534765,285260,12820025
Dickey,2025,3,15841879,265748,16107627
Dickey,2025,4,15244359,359702,15604061
Dickey,2026,1,12544294,220721,12765015
Dickey,2026,2,15717321,392804,16110125
Divide,2019,1,2867735,11843,2879578
Divide,2019,2,4480062,1836,4481898
Divide,2019,3,5327629,164894,5492523
Divide,2019,4,3590241,422369,4012610
Divide,2020,1,2567448,342424,2909872
Divide,2020,2,3785126,32647,3817773
Divide,2020,3,4463802,19483,4483285
Divide,2020,4,3791462,74937,3866399
Divide,2021,1,2342881,63515,2406396
Divide,2021,2,3419095,35509,3454604
Divide,2021,3,4478683,69560,4548243
Divide,2021,4,4081984,154885,4236869
Divide,2022,1,2316828,40916,2357744
Divide,2022,2,3864144,33343,3897487
Divide,2022,3,5193728,192552,5386280
Divide,2022,4,4117031,23266,4140297
Divide,2023,1,3662196,96083,3758279
Divide,2023,2,5999784,15676,6015460
Divide,2023,3,6078144,32093,6110237
Divide,2023,4,5429172,251314,5680486
Divide,2024,1,4315375,103991,4419366
Divide,2024,2,4997305,80401,5077706
Divide,2024,3,6174178,82909,6257087
Divide,2024,4,5146133,205832,5351965
Divide,2025,1,3825109,114150,3939259
Divide,2025,2,5221545,21583,5243128
Divide,2025,3,8175355,43625,8218980
Divide,2025,4,7304611,434899,7739510
Divide,2026,1,5863198,80760,5943958
Divide,2026,2,7514831,111897,7626728
Dunn,2019,1,9384182,1213228,10597410
Dunn,2019,2,11211226,1533192,12744418
Dunn,2019,3,16888744,2317701,19206445
Dunn,2019,4,14215725,2715027,16930752
Dunn,2020,1,12074380,2133441,14207821
Dunn,2020,2,7682249,3270693,10952942
Dunn,2020,3,7942958,2006958,9949916
Dunn,2020,4,8057863,1184227,9242090
Dunn,2021,1,7437510,2425739,9863249
Dunn,2021,2,8555310,929500,9484810
Dunn,2021,3,9693244,710021,10403265
Dunn,2021,4,8674341,1951616,10625957
Dunn,2022,1,8341150,2046329,10387479
Dunn,2022,2,9614821,537531,10152352
Dunn,2022,3,11366228,9897732,21263960
Dunn,2022,4,10467250,4278775,14746025
Dunn,2023,1,9647147,1446511,11093658
Dunn,2023,2,11128244,799017,11927261
Dunn,2023,3,11399994,1272157,12672151
Dunn,2023,4,10136943,1083210,11220153
Dunn,2024,1,8681164,179478,8860642
Dunn,2024,2,10523501,1354634,11878135
Dunn,2024,3,10343426,1645128,11988554
Dunn,2024,4,9805493,970979,10776472
Dunn,2025,1,8914270,1656179,10570449
Dunn,2025,2,10355176,473449,10828625
Dunn,2025,3,10882455,2772870,13655325
Dunn,2025,4,10420749,1764508,12185257
Dunn,2026,1,8827529,1956355,10783884
Dunn,2026,2,10140062,1528984,11669046
Eddy,2019,1,1553227,17549,1570776
Eddy,2019,2,2539954,8844,2548798
Eddy,2019,3,2796432,27910,2824342
Eddy,2019,4,2854611,183488,3038099
Eddy,2020,1,1795982,15677,1811659
Eddy,2020,2,2865864,37366,2903230
Eddy,2020,3,3330176,16677,3346853
Eddy,2020,4,3443039,206832,3649871
Eddy,2021,1,2516115,16957,2533072
Eddy,2021,2,2964948,9531,2974479
Eddy,2021,3,3012326,9117,3021443
Eddy,2021,4,4252663,199542,4452205
Eddy,2022,1,1979581,11120,1990701
Eddy,2022,2,3931844,7395,3939239
Eddy,2022,3,3893848,12584,3906432
Eddy,2022,4,5493002,222505,5715507
Eddy,2023,1,2020138,14637,2034775
Eddy,2023,2,3475610,11380,3486990
Eddy,2023,3,4133969,9471,4143440
Eddy,2023,4,4362357,208788,4571145
Eddy,2024,1,2136835,54076,2190911
Eddy,2024,2,3236111,20383,3256494
Eddy,2024,3,3526102,15745,3541847
Eddy,2024,4,3814625,211429,4026054
Eddy,2025,1,2076271,52456,2128727
Eddy,2025,2,3349643,84914,3434557
Eddy,2025,3,3423413,126116,3549529
Eddy,2025,4,3085008,341000,3426008
Eddy,2026,1,2202958,61951,2264909
Eddy,2026,2,2347569,132778,2480347
Emmons,2019,1,3108035,47600,3155635
Emmons,2019,2,4087418,128191,4215609
Emmons,2019,3,5481808,143678,5625486
Emmons,2019,4,4954077,128255,5082332
Emmons,2020,1,3112046,60272,3172318
Emmons,2020,2,3871134,88660,3959794
Emmons,2020,3,4341418,93603,4435021
Emmons,2020,4,4755759,120705,4876464
Emmons,2021,1,4144134,49664,4193798
Emmons,2021,2,4606996,107023,4714019
Emmons,2021,3,4597802,92225,4690027
Emmons,2021,4,5335352,112258,5447610
Emmons,2022,1,3390557,61069,3451626
Emmons,2022,2,4560073,91431,4651504
Emmons,2022,3,5755213,32649,5787862
Emmons,2022,4,5016413,71235,5087648
Emmons,2023,1,3321059,21226,3342285
Emmons,2023,2,4929322,41590,4970912
Emmons,2023,3,6269283,32438,6301721
