airport,year,month,passengers
BIS,2024,7,27813
BIS,2024,8,25191
BIS,2024,9,23680
BIS,2024,10,26750
BIS,2024,11,24057
BIS,2024,12,28243
BIS,2025,1,24390
BIS,2025,2,24886
BIS,2025,3,28283
BIS,2025,4,24751
BIS,2025,5,24879
BIS,2025,6,25836
BIS,2025,7,28523
BIS,2025,8,25687
BIS,2025,9,23896
BIS,2025,10,27587
BIS,2025,11,23913
BIS,2025,12,26707
BIS,2026,1,23450
BIS,2026,2,23496
BIS,2026,3,28003
BIS,2026,4,25239
BIS,2026,5,24847
BIS,2026,6,24079
DIK,2019,1,1759
DIK,2019,2,1644
DIK,2019,3,1579
DIK,2019,4,1808
DIK,2019,5,2088
DIK,2019,6,2057
DIK,2019,7,2161
DIK,2019,8,2242
DIK,2019,9,1972
DIK,2019,10,2107
DIK,2019,11,1898
DIK,2019,12,2498
DIK,2020,1,1997
DIK,2020,2,2038
DIK,2020,3,1182
DIK,2020,4,162
DIK,2020,5,268
DIK,2020,6,579
DIK,2020,7,848
DIK,2020,8,881
DIK,2020,9,786
DIK,2020,10,841
DIK,2020,11,871
DIK,2020,12,925
DIK,2021,1,618
DIK,2021,2,569
DIK,2021,3,756
DIK,2021,4,1282
DIK,2021,5,1502
DIK,2021,6,1735
DIK,2021,7,1860
DIK,2021,8,1699
DIK,2021,9,1625
DIK,2021,10,2052
DIK,2021,11,1646
DIK,2021,12,2096
DIK,2022,1,1569
DIK,2022,2,1457
DIK,2022,3,1740
DIK,2022,4,1492
DIK,2022,5,1851
DIK,2022,6,1834
DIK,2022,7,1985
DIK,2022,8,2031
DIK,2022,9,2057
DIK,2022,10,2131
DIK,2022,11,1909
DIK,2022,12,1550
DIK,2023,1,1792
DIK,2023,2,1738
DIK,2023,3,1986
DIK,2023,4,2014
DIK,2023,5,2183
DIK,2023,6,1955
DIK,2023,7,2015
DIK,2023,8,2054
DIK,2023,9,2045
DIK,2023,10,1930
DIK,2023,11,2205
DIK,2023,12,2140
DIK,2024,1,1738
DIK,2024,2,1958
DIK,2024,3,2215
DIK,2024,4,2422
DIK,2024,5,2304
DIK,2024,6,2152
