fips,county,year,month,employment,labor_force,unemployment_rate,prelim
38007,Billings,2018,10,506.0,515.0,1.7,False
38007,Billings,2018,11,454.0,464.0,2.2,False
38007,Billings,2018,12,434.0,446.0,2.7,False
38007,Billings,2019,1,440.0,458.0,3.9,False
38007,Billings,2019,2,434.0,451.0,3.8,False
38007,Billings,2019,3,441.0,458.0,3.7,False
38007,Billings,2019,4,469.0,478.0,1.9,False
38007,Billings,2019,5,505.0,512.0,1.4,False
38007,Billings,2019,6,653.0,664.0,1.7,False
38007,Billings,2019,7,667.0,676.0,1.3,False
38007,Billings,2019,8,653.0,664.0,1.7,False
38007,Billings,2019,9,602.0,611.0,1.5,False
38007,Billings,2019,10,502.0,510.0,1.6,False
38007,Billings,2019,11,449.0,457.0,1.8,False
38007,Billings,2019,12,450.0,459.0,2.0,False
38007,Billings,2020,1,445.0,457.0,2.6,False
38007,Billings,2020,2,446.0,455.0,2.0,False
38007,Billings,2020,3,450.0,463.0,2.8,False
38007,Billings,2020,4,453.0,476.0,4.8,False
38007,Billings,2020,5,506.0,530.0,4.5,False
38007,Billings,2020,6,583.0,607.0,4.0,False
38007,Billings,2020,7,595.0,612.0,2.8,False
38007,Billings,2020,8,610.0,626.0,2.6,False
38007,Billings,2020,9,562.0,576.0,2.4,False
38007,Billings,2020,10,477.0,492.0,3.0,False
38007,Billings,2020,11,436.0,448.0,2.7,False
38007,Billings,2020,12,432.0,445.0,2.9,False
38007,Billings,2021,1,429.0,441.0,2.7,False
38007,Billings,2021,2,429.0,442.0,2.9,False
38007,Billings,2021,3,445.0,458.0,2.8,False
38007,Billings,2021,4,459.0,469.0,2.1,False
38007,Billings,2021,5,515.0,527.0,2.3,False
38007,Billings,2021,6,628.0,645.0,2.6,False
38007,Billings,2021,7,649.0,662.0,2.0,False
38007,Billings,2021,8,670.0,682.0,1.8,False
38007,Billings,2021,9,605.0,615.0,1.6,False
38007,Billings,2021,10,591.0,599.0,1.3,False
38007,Billings,2021,11,464.0,472.0,1.7,False
38007,Billings,2021,12,455.0,463.0,1.7,False
38007,Billings,2022,1,444.0,454.0,2.2,False
38007,Billings,2022,2,452.0,461.0,2.0,False
38007,Billings,2022,3,475.0,488.0,2.7,False
38007,Billings,2022,4,472.0,481.0,1.9,False
38007,Billings,2022,5,537.0,548.0,2.0,False
38007,Billings,2022,6,654.0,667.0,1.9,False
38007,Billings,2022,7,688.0,700.0,1.7,False
38007,Billings,2022,8,695.0,708.0,1.8,False
38007,Billings,2022,9,603.0,610.0,1.1,False
38007,Billings,2022,10,529.0,537.0,1.5,False
38007,Billings,2022,11,477.0,484.0,1.4,False
38007,Billings,2022,12,485.0,493.0,1.6,False
38007,Billings,2023,1,449.0,460.0,2.4,False
38007,Billings,2023,2,471.0,481.0,2.1,False
38007,Billings,2023,3,474.0,486.0,2.5,False
38007,Billings,2023,4,487.0,497.0,2.0,False
38007,Billings,2023,5,549.0,557.0,1.4,False
38007,Billings,2023,6,660.0,671.0,1.6,False
38007,Billings,2023,7,706.0,717.0,1.5,False
38007,Billings,2023,8,732.0,745.0,1.7,False
38007,Billings,2023,9,649.0,657.0,1.2,False
38007,Billings,2023,10,612.0,620.0,1.3,False
38007,Billings,2023,11,525.0,532.0,1.3,False
38007,Billings,2023,12,513.0,524.0,2.1,False
38007,Billings,2024,1,473.0,486.0,2.7,False
38007,Billings,2024,2,490.0,504.0,2.8,False
38007,Billings,2024,3,495.0,509.0,2.8,False
38007,Billings,2024,4,509.0,521.0,2.3,False
38007,Billings,2024,5,580.0,592.0,2.0,False
38007,Billings,2024,6,669.0,687.0,2.6,False
38007,Billings,2024,7,729.0,744.0,2.0,False
38007,Billings,2024,8,752.0,770.0,2.3,False
38007,Billings,2024,9,673.0,682.0,1.3,False
38007,Billings,2024,10,605.0,616.0,1.8,False
38007,Billings,2024,11,549.0,558.0,1.6,False
38007,Billings,2024,12,536.0,550.0,2.5,False
38007,Billings,2025,1,492.0,507.0,3.0,False
