park,park_name,role,state,year,month,visits
BADL,Badlands NP,control,SD,1994,3,19434
BADL,Badlands NP,control,SD,1994,4,21843
BADL,Badlands NP,control,SD,1994,5,76263
BADL,Badlands NP,control,SD,1994,6,185125
BADL,Badlands NP,control,SD,1994,7,289085
BADL,Badlands NP,control,SD,1994,8,341930
BADL,Badlands NP,control,SD,1994,9,111980
BADL,Badlands NP,control,SD,1994,10,36357
BADL,Badlands NP,control,SD,1994,11,19076
BADL,Badlands NP,control,SD,1994,12,11709
BADL,Badlands NP,control,SD,1995,1,9689
BADL,Badlands NP,control,SD,1995,2,11367
BADL,Badlands NP,control,SD,1995,3,17711
BADL,Badlands NP,control,SD,1995,4,24072
BADL,Badlands NP,control,SD,1995,5,64642
BADL,Badlands NP,control,SD,1995,6,185944
BADL,Badlands NP,control,SD,1995,7,283530
BADL,Badlands NP,control,SD,1995,8,288225
BADL,Badlands NP,control,SD,1995,9,122438
BADL,Badlands NP,control,SD,1995,10,43214
BADL,Badlands NP,control,SD,1995,11,16971
BADL,Badlands NP,control,SD,1995,12,7766
BADL,Badlands NP,control,SD,1996,1,6276
BADL,Badlands NP,control,SD,1996,2,9133
BADL,Badlands NP,control,SD,1996,3,9457
BADL,Badlands NP,control,SD,1996,4,14865
BADL,Badlands NP,control,SD,1996,5,54339
BADL,Badlands NP,control,SD,1996,6,168458
BADL,Badlands NP,control,SD,1996,7,269852
BADL,Badlands NP,control,SD,1996,8,298697
BADL,Badlands NP,control,SD,1996,9,124891
BADL,Badlands NP,control,SD,1996,10,53291
BADL,Badlands NP,control,SD,1996,11,11090
BADL,Badlands NP,control,SD,1996,12,4356
BADL,Badlands NP,control,SD,1997,1,9197
BADL,Badlands NP,control,SD,1997,2,5400
BADL,Badlands NP,control,SD,1997,3,8952
BADL,Badlands NP,control,SD,1997,4,21386
BADL,Badlands NP,control,SD,1997,5,65723
BADL,Badlands NP,control,SD,1997,6,185921
BADL,Badlands NP,control,SD,1997,7,256102
BADL,Badlands NP,control,SD,1997,8,248190
BADL,Badlands NP,control,SD,1997,9,110533
BADL,Badlands NP,control,SD,1997,10,43189
BADL,Badlands NP,control,SD,1997,11,11219
BADL,Badlands NP,control,SD,1997,12,4884
BADL,Badlands NP,control,SD,1998,1,6490
BADL,Badlands NP,control,SD,1998,2,5369
BADL,Badlands NP,control,SD,1998,3,6629
BADL,Badlands NP,control,SD,1998,4,19097
BADL,Badlands NP,control,SD,1998,5,72123
BADL,Badlands NP,control,SD,1998,6,214871
BADL,Badlands NP,control,SD,1998,7,243051
BADL,Badlands NP,control,SD,1998,8,253556
BADL,Badlands NP,control,SD,1998,9,125014
BADL,Badlands NP,control,SD,1998,10,57885
BADL,Badlands NP,control,SD,1998,11,11298
BADL,Badlands NP,control,SD,1998,12,5666
BADL,Badlands NP,control,SD,1999,1,5410
BADL,Badlands NP,control,SD,1999,2,7581
BADL,Badlands NP,control,SD,1999,3,10258
BADL,Badlands NP,control,SD,1999,4,19891
BADL,Badlands NP,control,SD,1999,5,64000
BADL,Badlands NP,control,SD,1999,6,203379
BADL,Badlands NP,control,SD,1999,7,222487
BADL,Badlands NP,control,SD,1999,8,254142
BADL,Badlands NP,control,SD,1999,9,99008
BADL,Badlands NP,control,SD,1999,10,42865
BADL,Badlands NP,control,SD,1999,11,14217
BADL,Badlands NP,control,SD,1999,12,7215
BADL,Badlands NP,control,SD,2000,1,7680
BADL,Badlands NP,control,SD,2000,2,7216
BADL,Badlands NP,control,SD,2000,3,12379
BADL,Badlands NP,control,SD,2000,4,19597
BADL,Badlands NP,control,SD,2000,5,56457
BADL,Badlands NP,control,SD,2000,6,241202
BADL,Badlands NP,control,SD,2000,7,264707
BADL,Badlands NP,control,SD,2000,8,319967
BADL,Badlands NP,control,SD,2000,9,113551
BADL,Badlands NP,control,SD,2000,10,44591
BADL,Badlands NP,control,SD,2000,11,11928
BADL,Badlands NP,control,SD,2000,12,6549
BADL,Badlands NP,control,SD,2001,1,9007
BADL,Badlands NP,control,SD,2001,2,5016
BADL,Badlands NP,control,SD,2001,3,8837
BADL,Badlands NP,control,SD,2001,4,18906
BADL,Badlands NP,control,SD,2001,5,60758
BADL,Badlands NP,control,SD,2001,6,192749
BADL,Badlands NP,control,SD,2001,7,237981
BADL,Badlands NP,control,SD,2001,8,254819
BADL,Badlands NP,control,SD,2001,9,105127
BADL,Badlands NP,control,SD,2001,10,41749
BADL,Badlands NP,control,SD,2001,11,14309
BADL,Badlands NP,control,SD,2001,12,6211
BADL,Badlands NP,control,SD,2002,1,9372
BADL,Badlands NP,control,SD,2002,2,9139
BADL,Badlands NP,control,SD,2002,3,8198
BADL,Badlands NP,control,SD,2002,4,22400
BADL,Badlands NP,control,SD,2002,5,56138
BADL,Badlands NP,control,SD,2002,6,195007
BADL,Badlands NP,control,SD,2002,7,223994
BADL,Badlands NP,control,SD,2002,8,219701
BADL,Badlands NP,control,SD,2002,9,100651
BADL,Badlands NP,control,SD,2002,10,39023
BADL,Badlands NP,control,SD,2002,11,19121
BADL,Badlands NP,control,SD,2002,12,6154
BADL,Badlands NP,control,SD,2003,1,5011
BADL,Badlands NP,control,SD,2003,2,3674
BADL,Badlands NP,control,SD,2003,3,8100
BADL,Badlands NP,control,SD,2003,4,13483
BADL,Badlands NP,control,SD,2003,5,49165
BADL,Badlands NP,control,SD,2003,6,154035
BADL,Badlands NP,control,SD,2003,7,229203
BADL,Badlands NP,control,SD,2003,8,236385
BADL,Badlands NP,control,SD,2003,9,109614
BADL,Badlands NP,control,SD,2003,10,35712
BADL,Badlands NP,control,SD,2003,11,15818
BADL,Badlands NP,control,SD,2003,12,10834
BADL,Badlands NP,control,SD,2004,1,10032
BADL,Badlands NP,control,SD,2004,2,7214
BADL,Badlands NP,control,SD,2004,3,17981
BADL,Badlands NP,control,SD,2004,4,29627
BADL,Badlands NP,control,SD,2004,5,61399
BADL,Badlands NP,control,SD,2004,6,165208
BADL,Badlands NP,control,SD,2004,7,227954
BADL,Badlands NP,control,SD,2004,8,241351
BADL,Badlands NP,control,SD,2004,9,98625
BADL,Badlands NP,control,SD,2004,10,43979
BADL,Badlands NP,control,SD,2004,11,18598
BADL,Badlands NP,control,SD,2004,12,14062
BADL,Badlands NP,control,SD,2005,1,11686
BADL,Badlands NP,control,SD,2005,2,11158
BADL,Badlands NP,control,SD,2005,3,17670
BADL,Badlands NP,control,SD,2005,4,25338
BADL,Badlands NP,control,SD,2005,5,62729
BADL,Badlands NP,control,SD,2005,6,175943
BADL,Badlands NP,control,SD,2005,7,230425
BADL,Badlands NP,control,SD,2005,8,222918
BADL,Badlands NP,control,SD,2005,9,89849
BADL,Badlands NP,control,SD,2005,10,40128
BADL,Badlands NP,control,SD,2005,11,13176
BADL,Badlands NP,control,SD,2005,12,8126
BADL,Badlands NP,control,SD,2006,1,9365
BADL,Badlands NP,control,SD,2006,2,8129
BADL,Badlands NP,control,SD,2006,3,12192
BADL,Badlands NP,control,SD,2006,4,21437
BADL,Badlands NP,control,SD,2006,5,62224
BADL,Badlands NP,control,SD,2006,6,165119
BADL,Badlands NP,control,SD,2006,7,203452
BADL,Badlands NP,control,SD,2006,8,198003
BADL,Badlands NP,control,SD,2006,9,91615
BADL,Badlands NP,control,SD,2006,10,39023
BADL,Badlands NP,control,SD,2006,11,20369
BADL,Badlands NP,control,SD,2006,12,9190
BADL,Badlands NP,control,SD,2007,1,14820
BADL,Badlands NP,control,SD,2007,2,7448
BADL,Badlands NP,control,SD,2007,3,15319
BADL,Badlands NP,control,SD,2007,4,24350
BADL,Badlands NP,control,SD,2007,5,68211
BADL,Badlands NP,control,SD,2007,6,177612
BADL,Badlands NP,control,SD,2007,7,217962
BADL,Badlands NP,control,SD,2007,8,201031
BADL,Badlands NP,control,SD,2007,9,95505
BADL,Badlands NP,control,SD,2007,10,42105
BADL,Badlands NP,control,SD,2007,11,14174
BADL,Badlands NP,control,SD,2007,12,8117
BADL,Badlands NP,control,SD,2008,1,7836
BADL,Badlands NP,control,SD,2008,2,7351
BADL,Badlands NP,control,SD,2008,3,13937
BADL,Badlands NP,control,SD,2008,4,19620
BADL,Badlands NP,control,SD,2008,5,62637
BADL,Badlands NP,control,SD,2008,6,169249
BADL,Badlands NP,control,SD,2008,7,216713
BADL,Badlands NP,control,SD,2008,8,201226
BADL,Badlands NP,control,SD,2008,9,94323
BADL,Badlands NP,control,SD,2008,10,36505
BADL,Badlands NP,control,SD,2008,11,9329
BADL,Badlands NP,control,SD,2008,12,7008
BADL,Badlands NP,control,SD,2009,1,7332
BADL,Badlands NP,control,SD,2009,2,7639
BADL,Badlands NP,control,SD,2009,3,11875
BADL,Badlands NP,control,SD,2009,4,25911
BADL,Badlands NP,control,SD,2009,5,69831
BADL,Badlands NP,control,SD,2009,6,189139
BADL,Badlands NP,control,SD,2009,7,249779
BADL,Badlands NP,control,SD,2009,8,215299
BADL,Badlands NP,control,SD,2009,9,105471
BADL,Badlands NP,control,SD,2009,10,32610
BADL,Badlands NP,control,SD,2009,11,12886
BADL,Badlands NP,control,SD,2009,12,6146
BADL,Badlands NP,control,SD,2010,1,6696
BADL,Badlands NP,control,SD,2010,2,6722
BADL,Badlands NP,control,SD,2010,3,7752
BADL,Badlands NP,control,SD,2010,4,23423
BADL,Badlands NP,control,SD,2010,5,71909
BADL,Badlands NP,control,SD,2010,6,192904
BADL,Badlands NP,control,SD,2010,7,238189
BADL,Badlands NP,control,SD,2010,8,230914
BADL,Badlands NP,control,SD,2010,9,130822
BADL,Badlands NP,control,SD,2010,10,46929
BADL,Badlands NP,control,SD,2010,11,13368
BADL,Badlands NP,control,SD,2010,12,8150
BADL,Badlands NP,control,SD,2011,1,6646
BADL,Badlands NP,control,SD,2011,2,6818
BADL,Badlands NP,control,SD,2011,3,16375
BADL,Badlands NP,control,SD,2011,4,20652
BADL,Badlands NP,control,SD,2011,5,58637
BADL,Badlands NP,control,SD,2011,6,169056
BADL,Badlands NP,control,SD,2011,7,217178
BADL,Badlands NP,control,SD,2011,8,188638
BADL,Badlands NP,control,SD,2011,9,116187
BADL,Badlands NP,control,SD,2011,10,40910
BADL,Badlands NP,control,SD,2011,11,17133
BADL,Badlands NP,control,SD,2011,12,12511
BADL,Badlands NP,control,SD,2012,1,9660
BADL,Badlands NP,control,SD,2012,2,10908
BADL,Badlands NP,control,SD,2012,3,22784
BADL,Badlands NP,control,SD,2012,4,31658
BADL,Badlands NP,control,SD,2012,5,72568
BADL,Badlands NP,control,SD,2012,6,162676
BADL,Badlands NP,control,SD,2012,7,209064
BADL,Badlands NP,control,SD,2012,8,189830
BADL,Badlands NP,control,SD,2012,9,103606
BADL,Badlands NP,control,SD,2012,10,40449
BADL,Badlands NP,control,SD,2012,11,17791
BADL,Badlands NP,control,SD,2012,12,12412
BADL,Badlands NP,control,SD,2013,1,11882
BADL,Badlands NP,control,SD,2013,2,11033
BADL,Badlands NP,control,SD,2013,3,18258
BADL,Badlands NP,control,SD,2013,4,20750
BADL,Badlands NP,control,SD,2013,5,65043
BADL,Badlands NP,control,SD,2013,6,177507
BADL,Badlands NP,control,SD,2013,7,225096
BADL,Badlands NP,control,SD,2013,8,208579
BADL,Badlands NP,control,SD,2013,9,104029
BADL,Badlands NP,control,SD,2013,10,25530
BADL,Badlands NP,control,SD,2013,11,16663
BADL,Badlands NP,control,SD,2013,12,8002
BADL,Badlands NP,control,SD,2014,1,9548
BADL,Badlands NP,control,SD,2014,2,8671
BADL,Badlands NP,control,SD,2014,3,15898
BADL,Badlands NP,control,SD,2014,4,25054
BADL,Badlands NP,control,SD,2014,5,63131
BADL,Badlands NP,control,SD,2014,6,168011
BADL,Badlands NP,control,SD,2014,7,210370
BADL,Badlands NP,control,SD,2014,8,208807
BADL,Badlands NP,control,SD,2014,9,96882
BADL,Badlands NP,control,SD,2014,10,36929
BADL,Badlands NP,control,SD,2014,11,13973
BADL,Badlands NP,control,SD,2014,12,10820
BADL,Badlands NP,control,SD,2015,1,10414
BADL,Badlands NP,control,SD,2015,2,10942
BADL,Badlands NP,control,SD,2015,3,21924
BADL,Badlands NP,control,SD,2015,4,27193
BADL,Badlands NP,control,SD,2015,5,68239
BADL,Badlands NP,control,SD,2015,6,191593
BADL,Badlands NP,control,SD,2015,7,245400
BADL,Badlands NP,control,SD,2015,8,231866
BADL,Badlands NP,control,SD,2015,9,117724
BADL,Badlands NP,control,SD,2015,10,34498
BADL,Badlands NP,control,SD,2015,11,16771
BADL,Badlands NP,control,SD,2015,12,12790
BADL,Badlands NP,control,SD,2016,1,10826
BADL,Badlands NP,control,SD,2016,2,10921
BADL,Badlands NP,control,SD,2016,3,20501
BADL,Badlands NP,control,SD,2016,4,22812
BADL,Badlands NP,control,SD,2016,5,78863
BADL,Badlands NP,control,SD,2016,6,196209
BADL,Badlands NP,control,SD,2016,7,249194
BADL,Badlands NP,control,SD,2016,8,217071
BADL,Badlands NP,control,SD,2016,9,129350
BADL,Badlands NP,control,SD,2016,10,33380
BADL,Badlands NP,control,SD,2016,11,17970
BADL,Badlands NP,control,SD,2016,12,9166
BADL,Badlands NP,control,SD,2017,1,10380
BADL,Badlands NP,control,SD,2017,2,11149
BADL,Badlands NP,control,SD,2017,3,21498
BADL,Badlands NP,control,SD,2017,4,23166
BADL,Badlands NP,control,SD,2017,5,85967
BADL,Badlands NP,control,SD,2017,6,213966
BADL,Badlands NP,control,SD,2017,7,263506
BADL,Badlands NP,control,SD,2017,8,237125
BADL,Badlands NP,control,SD,2017,9,127598
BADL,Badlands NP,control,SD,2017,10,33426
BADL,Badlands NP,control,SD,2017,11,16807
BADL,Badlands NP,control,SD,2017,12,9737
BADL,Badlands NP,control,SD,2018,1,10610
BADL,Badlands NP,control,SD,2018,2,9456
BADL,Badlands NP,control,SD,2018,3,16616
BADL,Badlands NP,control,SD,2018,4,21343
BADL,Badlands NP,control,SD,2018,5,84527
BADL,Badlands NP,control,SD,2018,6,208645
BADL,Badlands NP,control,SD,2018,7,263863
BADL,Badlands NP,control,SD,2018,8,217350
BADL,Badlands NP,control,SD,2018,9,116826
BADL,Badlands NP,control,SD,2018,10,33527
BADL,Badlands NP,control,SD,2018,11,16442
BADL,Badlands NP,control,SD,2018,12,9737
BADL,Badlands NP,control,SD,2019,1,8981
BADL,Badlands NP,control,SD,2019,2,8059
BADL,Badlands NP,control,SD,2019,3,16517
BADL,Badlands NP,control,SD,2019,4,25083
BADL,Badlands NP,control,SD,2019,5,71885
BADL,Badlands NP,control,SD,2019,6,201516
BADL,Badlands NP,control,SD,2019,7,250898
BADL,Badlands NP,control,SD,2019,8,207743
BADL,Badlands NP,control,SD,2019,9,118262
BADL,Badlands NP,control,SD,2019,10,37727
BADL,Badlands NP,control,SD,2019,11,15450
BADL,Badlands NP,control,SD,2019,12,8877
BADL,Badlands NP,control,SD,2020,1,10145
BADL,Badlands NP,control,SD,2020,2,9979
BADL,Badlands NP,control,SD,2020,3,17183
BADL,Badlands NP,control,SD,2020,4,17290
BADL,Badlands NP,control,SD,2020,5,55637
BADL,Badlands NP,control,SD,2020,6,167784
BADL,Badlands NP,control,SD,2020,7,238875
BADL,Badlands NP,control,SD,2020,8,220523
BADL,Badlands NP,control,SD,2020,9,109186
BADL,Badlands NP,control,SD,2020,10,40508
BADL,Badlands NP,control,SD,2020,11,18926
BADL,Badlands NP,control,SD,2020,12,10896
