park,year,category,sector,value
BADL,2017,Labor Income,Restaurants,4314830.0
BADL,2017,Labor Income,Retail,1892459.0
BADL,2017,Labor Income,Secondary Effects,8381322.0
BADL,2017,Labor Income,Transportation,809288.0
BADL,2017,Non-local Visitor Spending,Camping,1435690.0
BADL,2017,Non-local Visitor Spending,Gas,9451356.0
BADL,2017,Non-local Visitor Spending,Groceries,4234815.0
BADL,2017,Non-local Visitor Spending,Lodging,22556439.0
BADL,2017,Non-local Visitor Spending,Recreation Industries,4825858.0
BADL,2017,Non-local Visitor Spending,Restaurants,12568891.0
BADL,2017,Non-local Visitor Spending,Retail,6333641.0
BADL,2017,Non-local Visitor Spending,Secondary Effects,0.0
BADL,2017,Non-local Visitor Spending,Transportation,3757617.0
BADL,2017,Party Days/Nights,Total,497392.0
BADL,2017,Value Added,Camping,908946.0
BADL,2017,Value Added,Gas,601839.0
BADL,2017,Value Added,Groceries,787251.0
BADL,2017,Value Added,Lodging,13205677.0
BADL,2017,Value Added,Recreation Industries,2426928.0
BADL,2017,Value Added,Restaurants,6598835.0
BADL,2017,Value Added,Retail,1730732.0
BADL,2017,Value Added,Secondary Effects,15017287.0
BADL,2017,Value Added,Transportation,2064431.0
BADL,2017,Visitor Spending,Camping,1435690.0
BADL,2017,Visitor Spending,Gas,9697488.0
BADL,2017,Visitor Spending,Groceries,4381015.0
BADL,2017,Visitor Spending,Lodging,22556439.0
BADL,2017,Visitor Spending,Recreation Industries,4956079.0
BADL,2017,Visitor Spending,Restaurants,12729401.0
BADL,2017,Visitor Spending,Retail,6459092.0
BADL,2017,Visitor Spending,Secondary Effects,0.0
BADL,2017,Visitor Spending,Transportation,3782183.0
BADL,2017,Visits,Total,1054325.0
BADL,2018,Economic Output,Camping,1313749.0
BADL,2018,Economic Output,Gas,1556108.0
BADL,2018,Economic Output,Groceries,1259277.0
BADL,2018,Economic Output,Lodging,22899098.0
BADL,2018,Economic Output,Recreation Industries,4946019.0
BADL,2018,Economic Output,Restaurants,12989507.0
BADL,2018,Economic Output,Retail,3207651.0
BADL,2018,Economic Output,Secondary Effects,31007948.0
BADL,2018,Economic Output,Transportation,3362910.0
BADL,2018,Jobs,Camping,22.0
BADL,2018,Jobs,Gas,21.0
BADL,2018,Jobs,Groceries,20.0
